Rozdělení míst pro prodej zboží       a poskyto-vání služeb§ 1,Městská částhlavního města Prahy,Adresa místa§ 1 odst. 1,Počet prodej-ních míst a velikost prostoru (záboru) v m2(min. 2 m2)§ 3odst. 1,Prodejní doba§ 4,Doba provozu§ 4,Druh prodávaného zboží nebo poskytované služby§ 2
TRŽNÍ MÍSTA,Praha 5,"Pod Kotlářkou u č. 7/98,  na ploše před hlavním vstupem na hřbitov Košíře",310 m2,,celoročně,"květiny, dušičkové a vánoční zboží"
TRŽNÍ MÍSTA,Praha 5,"Plzeňská, na chodníkuu parkoviště, před krematoriem Motol, parc.  č. 18/5 a u parc. č. 18/9,  k.ú. Motol",15 m2,8.00-18.00,příležitostně22.10. -2.11.,"dušičkové zboží, květiny"
TRŽNÍ MÍSTA,Praha 5,"Radlická u č. 117/520, parc. č. 1231/2, k.ú. Jinonice, na ploše před hlavním vstupem do OC Galerie Butovice (nutnost zachování průchodu pro chodce v šíři min. 4 m)",1590 m2,8.00-22.00,celoročněpříležitostně,"občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.  sezónní ovoce a zelenina, lesní plody, produkty živočišného původu, produkty lidových uměleckých řemesel z proutí, šustí, dřeva, skla, železa, kovu a keramiky, ubrusy, šátky, tašky, točená a balená zmrzlina, květiny a sortiment, který se ke květinám váže, nádobí, kuchyňské dekorace, příbory"
TRŽNÍ MÍSTA,Praha 5,"Radlická u č. 150/333,  parc.č. 80/2  u parc.č. 25/11 u opěrné zdi svahu,  k.ú. Radlice",14 m2,,příležitostně1.4. - 30.11.,"sezónní ovoce a zelenina, lesní plody"
TRŽNÍ MÍSTA,Praha 5,"Radlická u č. 150/333,  podél opěrné zdi z ulice Radlická, parc.č. 25/11, k.ú. Radlice",16 m2,7.00-14.00,příležitostně1.6. - 20. 12.,"občerstvení (stravovací služby) - káva, džusy, pastry"
TRŽNÍ MÍSTA,Praha 5,"Radlická, u výstupu ze st. metra „B“  Jinonice, parc.č. 792/6 a 792/10, k.ú. Jinonice",115 m2,po-pá,příležitostně15.4.-31.10.,"lesní plody, sezónní ovoce a zelenina"
TRŽNÍ MÍSTA,Praha 5,"Smíchovské nádraží – jih, stanice metra B, v podchodu po levé straně před obchodem a před schodištěm výstupu ČD",12 m2,,příležitostně14 dní před Velikonoce-mia 24.11. -24.12.,velikonoční zbožívánoční zboží
TRŽNÍ MÍSTA,Praha 5,"Štefánikova – Plzeňská, na chodníku (mimo linii přechodů pro chodce) na rohu ulic u provozovny KFC",13 m2,,příležitostně15.5. -15.10.,"sezónní ovoce a zelenina, lesní plody"
TRŽNÍ MÍSTA,Praha 5,"Štefánikova, na ploše naproti vstupu do pasáže OC Nový Smíchov u reklamního zařízení (mimo hlavní chodník)",13 m2,,příležitostně1. 4. - 30. 9.,"sezónní ovoce a zelenina, lesní plody"
TRŽNÍ MÍSTA,Praha 5,"Tréglova – Krškova,roh ulic",19 m2,po-ne8.00-19.00,celoročně,"ovoce, zelenina"
TRŽNÍ MÍSTA,Praha 5,"U smíchovského hřbitova, na chodníku podél zdi hřbitova vedle hlavního vchodu, parc. č. 908/1, k.ú. Smíchov",1140 m2,,celoročně,"květiny, dušičkové zboží, vánoční zboží"
TRŽNÍ MÍSTA,Praha 5,"výstup z vestibulu nádraží Praha - Smíchov,ul. Nádražní",1 2 m2,po-ne8.00-21.00,celoročně,"občerstvení (stravovací služby) - párek v rohlíku, balené nealkoholické nápoje"
TRŽNÍ MÍSTA,Praha 6,"Antonína Čermáka, před hřbitovem",315 m2,,příležitostně 14 dní před Velikonoce-mia 20.10.-31.12.,"květiny, věnce, svíčky"
TRŽNÍ MÍSTA,Praha 6,"Bělohorská u č. 123/216, průchod domu, ve dvoře, parc. č. 959, k. ú. Břevnov",118 m2,po-pá10.00-18.00ne10.00-18.00,celoročně,"ovoce, zelenina"
TRŽNÍ MÍSTA,Praha 6,"Dlabačov, parc. č. 301/2, 303/7, 303/2, k.ú. Břevnov",327 m2,7.00-22.00,celoročně,"občerstvení, nápoje, cukrovinky, potraviny, tisk"
TRŽNÍ MÍSTA,Praha 6,"Evropská u č. 200 a 200a, před hřbitovem",420 m2,,příležitostně 14 dní před Velikonoce-mia 20. 10. -31. 12.,"květiny, věnce, svíčky"
TRŽNÍ MÍSTA,Praha 6,"Hradčanská, st. metra A, podchod, naproti výstupu TRAM směr Břevnov",36 m2,9.00-22.00,příležitostně 14 dní před Velikonoce-mi24. 11. -24. 12.,velikonoční zbožívánoční zboží
TRŽNÍ MÍSTA,Praha 6,Jugoslávských partyzánů u č. 48/150,12 m2,,celoročně,"ovoce, zelenina"
TRŽNÍ MÍSTA,Praha 6,"Ladronka, parc.č. 2497/1 k.ú. Břevnov",19 m2,7.00-22.00,celoročně,"občerstvení, nápoje, cukrovinky, potraviny, tisk"
TRŽNÍ MÍSTA,Praha 6,"Matějská u č. 6/2352, u SM Albert",212 m2,8.00-19.00,celoročně,"textil,  obuv, hračky, dárkové předměty,  knihy, květiny, uzenářské výrobky, pečivo, cukrovinky"
TRŽNÍ MÍSTA,Praha 6,Na Petřinách u č.  42/302 před  Českou poštou,315 m2,,celoročně,"ovoce, zelenina, punčochové zboží"
TRŽNÍ MÍSTA,Praha 6,"Na Petřinách u č. 55/1945, parc. č. 3477/289, k.ú. Břevnov,  u SM BILLA",15 m2,7.00-10.0016.00-19.00,celoročně,"občerstvení (stravovací služby), nealkoholické nápoje, káva, pečivo, cukrovinky, balené potraviny"
TRŽNÍ MÍSTA,Praha 6,"Na Petřinách, parc.č. 3477/289, k.ú. Břevnov, před SM Billa",19 m2,7.00-22.00,celoročně,"občerstvení, nápoje, cukrovinky, potraviny, tisk"
TRŽNÍ MÍSTA,Praha 6,"Na Větrníku, parc.č. 3477/308, k.ú. Břevnov",19 m2,7.00-22.00,celoročně,"občerstvení, nápoje, cukrovinky, potraviny, tisk"
TRŽNÍ MÍSTA,Praha 6,"U Matěje u č. 7/213, před hřbitovem u Matěje",315 m2,,příležitostně 14 dní před Velikonoce-mi a 20.10. -31.12.,"květiny, věnce, svíčky"
TRŽNÍ MÍSTA,Praha 6,"U Vojtěšky, před hřbitovem",315 m2,,příležitostně 14 dní před Velikonoce-mia 20.10. -31.12.,"květiny, věnce, svíčky"
TRŽNÍ MÍSTA,Praha 6,"Veleslavín, prostor autobusového nádraží Veleslavín",327 m2,7.00-22.00,celoročně,"občerstvení, ovoce, tisk"
TRŽNÍ MÍSTA,Praha 6,"Veleslavín,  u výstupu z metra „A“ Nádraží Veleslavín, parc.č. 1281/561, k.ú. Veleslavín",19 m2,7.00-22.00,celoročně,"občerstvení, nápoje, cukrovinky, potraviny, tisk"
TRŽNÍ MÍSTA,Praha 7,Bubenské nábřeží u č. 13/306,16 m2,10.00-19.00,celoročně,čerstvé ryby a mořské plody na  ledu
TRŽNÍ MÍSTA,Praha 7,Františka Křížka – u č.p. 460/15  - parkoviště  před BIO OKO,16m²,po–pá10. 00-22.00 so–ne15.00–20.00,příležitostně20.05.-30.09.,"občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb. – z mobilního zařízení"
TRŽNÍ MÍSTA,Praha 7,Komunardů u č. 35/1180,110 m2,,celoročně,čerstvé ryby
TRŽNÍ MÍSTA,Praha 7,"Komunardů x Jateční, roh ulic, parc.č. 1185, k.ú. Holešovice, areál dětského hřiště Sedmikráska",112 m2,10.00-22.00,celoročně,"občerstvení (stravovací služby), nealkoholické nápoje"
TRŽNÍ MÍSTA,Praha 7,"Komunardů x Přístavní, roh ulic, parc.č. 834, 835, k.ú. Holešovice",1400 m2,po-pá15.00-22.00,příležitostně1.4.-31.10.,"občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., pronájem kontejnerů k pěstování zeleniny a květin"
TRŽNÍ MÍSTA,Praha 7,"Komunardů x Přístavní, roh ulic, parc.č. 834, 835, k.ú. Holešovice",16 m2,po-pá10.00-19.00,celoročně,čerstvé ryby a mořské plody na ledu
TRŽNÍ MÍSTA,Praha 7,"Letenské náměstí, chodník-západní výběžek u veřejného WC u SM BILLA",13 m2,po-so8.00-18.00,celoročně,"ovoce, zelenina, květiny"
TRŽNÍ MÍSTA,Praha 7,"Milady Horákové, výklenek u č.  6/689",16 m2,,celoročně,"ovoce, zelenina, vánoční zboží, velikonoční zboží"
TRŽNÍ MÍSTA,Praha 7,"Milady Horákové u č. 29/806, pasáž BELCREDI",12 m2,9.30-18.30,celoročně,textil
TRŽNÍ MÍSTA,Praha 7,"nádraží Praha – Holešovice, st. metra C, jih, parc.         č. 186/1,  k.ú. Holešovice, před výstupem z metra k ul. Plynární, nezasahuje do přístupové    a výstupní cesty metra",110 m2,po-pá7.00-19.00,celoročně,"ovoce, zelenina"
TRŽNÍ MÍSTA,Praha 7,"ostrov Štvanice, parc.č. 2352, k.ú. Holešovice",112 m2,10.00-22.00,celoročně,"půjčování nemotorových dopravních prostředků (kolečkové brusle, kola, koloběžky, šlapací čtyřkolky, lodičky apod.)občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 7,"ostrov Štvanice, při východní straně tenisových kurtů,  parc.č. 1210/1, k.ú. Holešovice",112 m2,10.00-22.00,celoročně,"půjčování nemotorových dopravních prostředků (kolečkové brusle, kola, koloběžky, šlapací čtyřkolky, lodičky apod.)občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 7,"plocha před Výstavištěm,  parc. č. 1862/4,k. ú. Bubeneč",324 m2,,celoročně,"drobné kuřácké potřeby, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 7,"Stromovka, infostánek u bývalé Šlechtovy restaurace, parc. č. 1796/1, k.ú. Bubeneč",1108 m2,po-ne10.00-22.00,celoročně,"půjčování nemotorových dopravních prostředků (kolečkové brusle, kola, koloběžky, šlapací čtyřkolky apod.)tabákové výrobky, drobné kuřácké potřeby, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 7,"Strossmayerovo náměstí u č. 11/966, před domem mezi stromy na chodníku",13 m2,po-so8.00-18.00,celoročně,"ovoce, zelenina, květiny"
TRŽNÍ MÍSTA,Praha 7,"Vltavská, st. metra C, prostranství u vstupu do metra, parc.č. 1240/8, k.ú. Holešovice",13 m2,po-so8.00-18.00,celoročně,"ovoce, zelenina, květiny"
TRŽNÍ MÍSTA,Praha 7,"Vltavská, st. metra C, místo u přístřešku na straně u vstupu do metra, parc.č. 1240/8, k.ú. Holešovice",13 m2,po-so8.00-18.00,celoročně,"ovoce, zelenina, květiny"
TRŽNÍ MÍSTA,Praha 7,Za elektrárnou u vstupu do Stromovky,110 m2,,celoročně,"půjčování nemotorových dopravních prostředků (kolečkové brusle, kola, koloběžky)"
TRŽNÍ MÍSTA,Praha 8,"Bínova u č. 4/528, průchod   objektem, k. ú. Střížkov",120 m2,po-ne10.00-18.00,příležitostně,"ovoce, zelenina"
TRŽNÍ MÍSTA,Praha 8,"Burešova proti KD Ládví, k.ú. Kobylisy",115 m2,po-so6.00-20.00,celoročně,"pečivo, dorty, chlebíčky, obložené bagety, pizza, nealkoholické nápoje"
TRŽNÍ MÍSTA,Praha 8,"Burešova, roh NS Ládví, směr metro, k. ú. Kobylisy",12 m2,,příležitostně25. 11. -24. 12.20 dní před Velikonoce-mi,"adventní věnce, vánoční a velikonoční  zboží, květiny"
TRŽNÍ MÍSTA,Praha 8,"Burešova u KD Ládví, parc.č. 2364/1, k.ú. Kobylisy",16 m2,po-pá7.00-19.00,příležitostně17.3.-31.10.,"ovoce, zelenina"
TRŽNÍ MÍSTA,Praha 8,"Ďáblická, před vchodem do Ďáblického hřbitova",12 m2,po-ne8.00-17.00,příležitostně20.10.-4.11.,dušičkové zboží
TRŽNÍ MÍSTA,Praha 8,"Ďáblická, roh Ďáblického hřbitova",12 m2,po-ne8.00-17.00,příležitostně20.10.-4.11.,dušičkové zboží
TRŽNÍ MÍSTA,Praha 8,"Čimická, parkoviště u stanice MHD - BUS, Podhajská pole",110 m2,,celoročně,čištění peří
TRŽNÍ MÍSTA,Praha 8,"Čumpelíkova u č.  6/1222, u  NS, k. ú. Kobylisy",310 m2,,příležitostně1.4. - 31.12.,"květiny, ovoce, zelenina"
TRŽNÍ MÍSTA,Praha 8,"Florenc, st. metra B a C - uliční úroveň,směr tram. Sokolovská, k. ú. Karlín",24 m2,po-ne6.00-18.00,příležitostně14 dní před Velikonoce- mi24. 11. -24. 12.,velikonoční zbožívánoční zboží
TRŽNÍ MÍSTA,Praha 8,"Florenc, st. metra B,parc. č. 194/1, k. ú. Karlín",214 m2,po-ne6.30-20.00,celoročně,"občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., trvanlivé pečivo"
TRŽNÍ MÍSTA,Praha 8,"Ke Stírce u č.  45/127,      na rohu s ulicí Klapkova, k. ú. Kobylisy",24 m2,,celoročněpříležitostně14 dní před Velikonoce-mi1 měsíc před dušičkami 24. 11. -24. 12.,"květiny, ovoce, zelenina, cukrovinky, proutěné zbožívelikonoční zbožídušičkové zboží vánoční zboží"
TRŽNÍ MÍSTA,Praha 8,"Ke Štvanici, k. ú. Nové Město",14 m2,po-pá,celoročně,"plněné bagety, párek v rohlíku, pečivo"
TRŽNÍ MÍSTA,Praha 8,"Klapkova, chodník, u výstupu z metra Kobylisy, stanice TRAM směr DC, k. ú. Kobylisy",12 m2,,příležitostně25. 11.-24. 12.20 dnů před velikonoč-ním pondělím,"adventní věnce, vánoční a velikonoční zboží"
TRŽNÍ MÍSTA,Praha 8,"Klapkova u č. 14/15, vyzvednutá brána – vjezd na pozemek, k.ú. Kobylisy",110 m2,po-pá,příležitostně1.12.-31.12.,"vánoční zboží, vánoční stromky,občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 8,"Klapkova u č. 28/1035, parc.č. 455,  k.ú. Kobylisy, část zahrady",130 m2,po-pá8.00-18.00,celoročně,"ovoce, zelenina"
TRŽNÍ MÍSTA,Praha 8,"Lodžská u č. 20/806, areál SM BILLA, k. ú. Bohnice",315 m2,,příležitostně1. 4 .- 31.12.,upomínkové předměty
TRŽNÍ MÍSTA,Praha 8,"Lodžská, parc.č. 585/61, k.ú. Bohnice",14 m2,po-pá,celoročně,pečivo
TRŽNÍ MÍSTA,Praha 8,"Palmovka, st. metra B, východ, vestibul,            k. ú. Libeň",12 m2,,příležitostně 14 dní před Velikonoce- mi1.5. - 31.8.24. 11.-24.12.,velikonoční zbožíkvětinyvánoční  zboží
TRŽNÍ MÍSTA,Praha 8,"Palmovka, st. metra B, západ, uprostřed podchodu u sloupů, k. ú. Libeň",24 m2,,příležitostně14 dní před Velikonoce- mi24. 11. -24. 12.,velikonoční zbožívánoční  zboží
TRŽNÍ MÍSTA,Praha 8,"pozemek parc.č. 693/163, k.ú. Karlín",16 m2,po-pá7.00-17.00,celoročně,pečivo
TRŽNÍ MÍSTA,Praha 8,"Rohanský ostrov,   západní část pozemku parc. č. 767/1, k.ú. Karlín",1200 m2,po-ne11.00-23.00,celoročně,"občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb.půjčování sportovního a rekreačního vybavení"
TRŽNÍ MÍSTA,Praha 8,"Sokolovská  u st. metra C, B Florenc v prostoru před vstupem k mezinárodním hodinám, směr DC,  parc. č. 787/1, k. ú. Karlín",13 m2,po-ne8.00 – 18.00,celoročně,"teplá káva a čaj, balené pečivo, párek v rohlíku, nealkoholické nápoje"
TRŽNÍ MÍSTA,Praha 8,"Sokolovská u č. 12/26, u st. metra C, B Florenc, parc.č. 787/1, k.ú. Karlín",14 m2,po-pá7.00-19.00,příležitostně12.3.- 27.10.,"sezónní ovoce, zelenina, jahody, lesní plody,  léčivé byliny a čajové směsi"
TRŽNÍ MÍSTA,Praha 8,"Sokolovská u č. 69/14, u výstupu z metra Florenc před NS BILLA, k.ú. Karlín",12 m2,po-pá8.00-17.00,příležitostně20.11.-24.12.,vánoční zboží
TRŽNÍ MÍSTA,Praha 8,"Thámova u č. 23/84 x Sokolovská,  u st. metra Křižíkova, pěší zóna Thámova,  k.ú. Karlín",16 m2,po-pá7.00-20.00,celoročně,"tepelně zpracované ovoce           a zelenina, sladké a slané koláče, zmrzlina, nápoje včetně alkoholických  kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., suché plody, balené potraviny, sýry, cukrovinky"
TRŽNÍ MÍSTA,Praha 8,Thámova u č. 30/116,12 m2,po-ne9.00-20.00,příležitostně1.5. - 15.9.,točená zmrzlina
TRŽNÍ MÍSTA,Praha 8,"Thámova, pěší zóna           u st. metra B Křižíkova, k. ú. Karlín",120 m2,po-ne7.00-19.00,celoročně,"ovoce, zelenina"
TRŽNÍ MÍSTA,Praha 8,"Trousilova u č. 2/1031, v podloubí OD Sokolníky",318 m2,8.00-19.00,celoročně,"textil,  obuv, hračky,  knihy, masné a uzenářské výrobky, dárkové předměty"
TRŽNÍ MÍSTA,Praha 8,"Trousilova u č. 4/1064 u SM Albert,   Sokolníky, k. ú. Kobylisy",12 m2,po-ne7.00-20.00,celoročně,upomínkové předměty
TRŽNÍ MÍSTA,Praha 8,"U libeňského pivovaru u č. 2/63, v areálu SM Albert, k. ú. Libeň",16 m2,,příležitostně20. 11. -24. 12.,upomínkové předmětyvánoční zboží
TRŽNÍ MÍSTA,Praha 8,"Zenklova  vedle č. 22/340,  roh budovy, k. ú. Libeň",14 m2,,příležitostně1.4. - 31.12.,"ovoce, zelenina"
TRŽNÍ MÍSTA,Praha 8,"Zenklova u č. 28/32,parc. č. 3963/10,k. ú. Libeň",24 m2,,celoročnědo zahájení regenerace a zástavby území,"květiny, ovoce, zelenina"
TRŽNÍ MÍSTA,Praha 8,"Zenklova u č. 66/245, u vstupu do objektu,         k. ú. Libeň",110 m2,po-ne8.00-20.00,celoročně,"textil, hračky"
TRŽNÍ MÍSTA,Praha 8,"Zhořelecká u č. 2/514, areál  SM ALBERT, k.ú. Bohnice",16 m2,9.00-18.00,celoročně,"textil, obuv, kabelky"
TRŽNÍ MÍSTA,Praha 8,"Žernosecká u stanice MHD, BUS Šimůnkova,  směr ZC",12 m2,po-ne7.00-20.00,celoročně,"květiny, ovoce, zelenina"
TRŽNÍ MÍSTA,Praha 9,"Čakovická, Prosecký hřbitov",220 m2,,příležitostně1.3. - 30. 4.1.10. -24.12.,velikonoční  zbožídušičkové zbožívánoční zboží
TRŽNÍ MÍSTA,Praha 9,"Čakovická, parc.č. 2072, proti sloupu veřejného osvětlení č. 901876, při parc.č. 1675/9, vše k.ú. Vysočany",110 m2,,celoročně,"ovoce, zelenina"
TRŽNÍ MÍSTA,Praha 9,"Čakovická, parc.č. 2072 proti sloupu veřejného osvětlení č. 901873, při parc.č. 1675/9, vše k.ú. Vysočany",115 m2,,celoročně,"ovoce, zelenina, zemědělské přebytky, květiny"
TRŽNÍ MÍSTA,Praha 9,"Českobrodská, u stanice MHD, směr Hrdlořezy",17 m2,,celoročně,"tisk, tabák, balené potraviny"
TRŽNÍ MÍSTA,Praha 9,"Českomoravská – chodník před nádražím Praha – Libeň,  součást parc. č. 559,        k. ú. Vysočany, před č. 316/24",530 m2,7.00-22.00,celoročně,"ovoce, zelenina, květiny,občerstvení (stravovací služby), velikonoční a vánoční zboží"
TRŽNÍ MÍSTA,Praha 9,"Českomoravská,st. metra B,prostor mezi autobusovým terminálema ulicí Drahobejlovou",740 m2,,celoročně,"květiny, zemědělské přebytky, tisk, upomínkové předměty,   textilní a kožená galanterie, elektrotechnika, drogistické zboží, balené potraviny, pečivo, občerstvení (stravovací služby) - grilovaná kuřata"
TRŽNÍ MÍSTA,Praha 9,"Českomoravská - budova st. metra B, chodníku autobusového terminálu, nezasahuje do přístupové a výstupní cesty metra",115 m2,,příležitostně14 dní před Velikonoce-mi3.6.-20.7.   24. 11. -24. 12.,"velikonoční zbožíovoce, sluneční brýlevánoční zboží"
TRŽNÍ MÍSTA,Praha 9,"Českomoravská, stanice metra B,autobusový terminál, chodník směr O2 Aréna",110 m2,,příležitostně14 dní před Velikonoce- mi24. 11. -24. 12.,občerstvení (stravovací služby)velikonoční zbožívánoční  zboží
TRŽNÍ MÍSTA,Praha 9,"Drahobejlova chodník,        u východu z metra Českomoravská",415 m2,,celoročně,"upomínkové předměty, květiny, zemědělské přebytky, tisk, textilní a kožená galanterie, elektrotechnika, drogistické zboží, balené potraviny, pečivo, občerstvení (stravovací služby) – grilovaná kuřata, ovoce, zelenina"
TRŽNÍ MÍSTA,Praha 9,"Jablonecká  u č. 70/423, Jizerka - NS Penny",7165 m2,po-so,celoročně,"ovoce, zelenina, květiny, tisk,  pečivo, textil, obuv, keramika, velikonoční a vánoční zboží, balené potraviny"
TRŽNÍ MÍSTA,Praha 9,"K lipám, Na pokraji,parc. č. 395, k. ú. Střížkov, zastávka MHD Madlina",15 m2,,celoročně,"tisk, tabák, nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 9,"Kovanecká, parc. č. 3052/14, k.ú. Libeň, vedle sloupu veřejného osvětlení č. 916818, u cyklostezky",110  m2,,celoročně,"káva, zmrzlina"
TRŽNÍ MÍSTA,Praha 9,"Kovanecká, pozemek  parc. č. 3075, k. ú. Libeň, u cyklostezky",1200 m2,,celoročně,občerstvení
TRŽNÍ MÍSTA,Praha 9,křižovatka Lovosická x Jetřichovická,19 m2,,celoročně,"tisk, tabák,  nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 9,"nám. Organizace spojených národů, u st. metra B, Vysočanská, ul. Freyova – směr Harfa",115 m2,po-so,celoročně,květiny
TRŽNÍ MÍSTA,Praha 9,"nám. Organizace spojených národů, u st. metra B, Vysočanská, ul. Freyova – směr Prosek",430 m2,po-so,celoročně,"ovoce, zelenina, keramika, upomínkové předměty, textilní a kožená galanterie, výrobky ze dřeva, proutí, slámy, šustí a kůže, suché plody, velikonoční a vánoční zboží, balené potraviny, zmrzlina, občerstvení (stravovací služby), nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., tisk, tabák"
TRŽNÍ MÍSTA,Praha 9,"Ocelářská, Českomoravská – prostranství před OC Galerie Harfa",303000 m2,9.00-21.00,celoročně,"velikonoční a vánoční zboží, dárkové předměty,  upomínkové předměty, zmrzlina, ovoce, zelenina, sezónní prodej plodů, občerstvení (stravovací služby)"
TRŽNÍ MÍSTA,Praha 9,"Park Přátelství, vedle  dětského hřiště – chodník vedle sloupu veřejného osvětlení  č. 903027, parc. č. 624/7, k.ú. Prosek",115 m2,,příležitostně 1.4. do 31.10.,"zmrzlina, ledová tříšť"
TRŽNÍ MÍSTA,Praha 9,"Paříkova, před vchodem do podchodu Nádraží Vysočany",110 m2,,příležitostně1.3.-31.10.,zmrzlina
TRŽNÍ MÍSTA,Praha 9,"Pod Harfou, chodník u č. p. 40/938, parc. č. 2153/5, k.ú. Vysočany",115 m2,,příležitostně 1.3. do 31.10.,"ovoce, zelenina, zemědělské přebytky"
TRŽNÍ MÍSTA,Praha 9,Prosecká - OBI,228 m2,,celoročně,"občerstvení (stravovací služby), balené potraviny, maso, uzeniny, nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 9,"Prosecká x Vysočanská, parc. č. 1373, k. ú. Prosek, jedno parkovací místo na parkovišti ul. Pískovcová",1 8 m2,,celoročně,čištění peří
TRŽNÍ MÍSTA,Praha 9,"Prosecká  - stanice MHD, „Nový Prosek“ -  proti OBI",114 m2,,celoročně,"tisk, tabák, nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 9,"Prosecká,  úsek chodníku mezi východem z metra Prosek a zastávkou autobusů MHD Prosek, před NS BILLA, parc. č. 643/13, k. ú. Prosek",220 m2,,celoročně,"ovoce, zelenina, květiny, občerstvení"
TRŽNÍ MÍSTA,Praha 9,"Sokolovská u č. 304/810, u Nemocnice s poliklinikou – Vysočany, parc. č. 1939/2, k.ú. Vysočany",118 m2,,celoročně,čištění peří
TRŽNÍ MÍSTA,Praha 9,"Sokolovská u č. 304/810, u Nemocnice s poliklinikou - Vysočany",346 m2,,celoročně,"květiny, ovoce, zelenina, tisk, tabák, nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb., maso, uzeniny, balené potraviny, textil, pečivo"
TRŽNÍ MÍSTA,Praha 9,"Sokolovská, u dětského hřiště (proti poliklinice Vysočany)",110 m2,,příležitostně1.3.-31.10.,"zmrzlina (do kornoutu), káva"
TRŽNÍ MÍSTA,Praha 9,Sokolovská u SM NORMA,15 m2,,celoročně,"tisk, tabák, nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
TRŽNÍ MÍSTA,Praha 9,"Spojovací x Učňovská, chodník – Jarov",120 m2,,celoročně,tisk
TRŽNÍ MÍSTA,Praha 9,"Veltruská, chodník  u č.p. 25/539, parc. č. 628/164, k.ú. Prosek",115 m2,,příležitostně 1.3.-31.10.,"ovoce, zelenina"
TRŽNÍ MÍSTA,Praha 9,"Verneřická u č. 41/712, Severka - SM BILLA",766 m2,po-so,celoročněpříležitostně1 měsíc před Velikonoce-mi7.12 - 24.12.,"květiny, ovoce, zelenina, knihy,   balené potraviny, keramika, výrobky z proutí, upomínkové předmětyvelikonoční zbožívánoční zboží"
TRŽNÍ MÍSTA,Praha 9,Vysočanská  u č. 65/556 - Královka,478 m215 m2,,celoročněpříležitostně,"květiny, ovoce, zelenina,  pečivo, zemědělské přebytky"
TRŽNÍ MÍSTA,Praha 9,Vysočanská u č. p. 85/546,19 m2,,celoročně,"tisk, tabák, nápoje včetně alkoholických kromě lihovin ve smyslu   § 132 písm. f) zákona č. 353/2003 Sb., o spotřebních daních, ve znění zákona č. 217/2005 Sb."
